Wavelength	ref00057.asd
350	 4.23420040392557E-02 
351	 4.24119311900668E-02 
352	 4.15172078170354E-02 
353	 0.042100863526704 
354	 4.18565262933433E-02 
355	 4.19278129755907E-02 
356	 4.28950689498167E-02 
357	 4.30040145910782E-02 
358	 4.25340598494435E-02 
359	 4.25401300614901E-02 
360	 4.35849163310322E-02 
361	 4.31052023716907E-02 
362	 4.30722464601262E-02 
363	 4.33447633065912E-02 
364	 4.25659769138587E-02 
365	 4.28820725535713E-02 
366	 4.33285919618937E-02 
367	 4.32823369719305E-02 
368	 4.31131639062994E-02 
369	 4.34592126014938E-02 
370	 4.36692822277439E-02 
371	 0.043310415307297 
372	 4.36252849111202E-02 
373	 4.37962062556539E-02 
374	 4.37153020423159E-02 
375	 4.36873081801955E-02 
376	 4.40971883358263E-02 
377	 4.42102920036706E-02 
378	 4.40709981435767E-02 
379	 4.47232625402861E-02 
380	 4.46743154156337E-02 
381	 0.044970306407413 
382	 4.62012660620986E-02 
383	 4.62370958627553E-02 
384	 4.64917344151166E-02 
385	 4.69723601756899E-02 
386	 4.71332604318968E-02 
387	 4.71148314599588E-02 
388	 4.73726927265823E-02 
389	 4.78034353065136E-02 
390	 4.77669056291159E-02 
391	 4.84049787696393E-02 
392	 4.89727800189098E-02 
393	 4.89921124978107E-02 
394	 4.93156461489048E-02 
395	 4.99353278994597E-02 
396	 0.050393128949926 
397	 5.02919858398643E-02 
398	 5.05032007427418E-02 
399	 5.01873379763621E-02 
400	 4.98044779923526E-02 
401	 5.07341763954945E-02 
402	 0.050809006609051 
403	 5.07939199542605E-02 
404	 5.12911256908906E-02 
405	 5.17090903184127E-02 
406	 5.19001355466784E-02 
407	 5.19950613101558E-02 
408	 0.052223793326406 
409	 5.27044986771028E-02 
410	 5.27489715094753E-02 
411	 5.25343776232724E-02 
412	 5.29333046431809E-02 
413	 5.30200157433369E-02 
414	 5.29930991021194E-02 
415	 0.053096209160496 
416	 5.32824469272225E-02 
417	 5.35630249442834E-02 
418	 5.37508531327483E-02 
419	 5.37261757304269E-02 
420	 5.40100746944475E-02 
421	 5.43989260598672E-02 
422	 5.46665507859897E-02 
423	 5.46315526112698E-02 
424	 5.45472226505005E-02 
425	 5.46508104151771E-02 
426	 5.50052236195658E-02 
427	 5.53549404641037E-02 
428	 5.55613387320766E-02 
429	 5.55858901663712E-02 
430	 5.54913775061174E-02 
431	 5.54981535041239E-02 
432	 5.56936666316985E-02 
433	 5.58809106344091E-02 
434	 5.56854913919312E-02 
435	 5.57073690255863E-02 
436	 5.58933583424845E-02 
437	 5.60767685010787E-02 
438	 5.60751234746634E-02 
439	 5.61928645376808E-02 
440	 5.64239344014094E-02 
441	 5.66573024591462E-02 
