Wavelength	ref00056.asd
350	 1.80448809550803E-02 
351	 1.79346804457698E-02 
352	 1.65773636197417E-02 
353	 1.77547539822994E-02 
354	 1.76064516057415E-02 
355	 1.70912413554321E-02 
356	 1.71029356036564E-02 
357	 1.65208967297123E-02 
358	 1.66173492156622E-02 
359	 1.67081777865138E-02 
360	 1.60531104382927E-02 
361	 1.63256194331969E-02 
362	 0.01657446974717 
363	 1.67730904562177E-02 
364	 1.73843952140768E-02 
365	 1.66959122950202E-02 
366	 1.62074097662194E-02 
367	 1.66109468373649E-02 
368	 1.69728686153021E-02 
369	 1.67970946751235E-02 
370	 0.016572156543519 
371	 1.67135147827853E-02 
372	 1.65891223464742E-02 
373	 1.65127698752977E-02 
374	 1.63596221815603E-02 
375	 1.59129573806092E-02 
376	 1.60201382891396E-02 
377	 1.62384310593787E-02 
378	 1.63458508642968E-02 
379	 1.65282776071792E-02 
380	 1.65145714739045E-02 
381	 1.65969180578661E-02 
382	 0.016899170134241 
383	 0.016763139909684 
384	 1.66333836667323E-02 
385	 1.66148630432361E-02 
386	 1.66817012883377E-02 
387	 1.70044273824795E-02 
388	 1.72118200355032E-02 
389	 1.71777406688587E-02 
390	 1.70862675895994E-02 
391	 1.72955471100899E-02 
392	 1.74602429921938E-02 
393	 1.73192295600683E-02 
394	 0.016995085525162 
395	 1.75183597888917E-02 
396	 1.81034490682129E-02 
397	 1.77557420120285E-02 
398	 1.80229748958091E-02 
399	 1.80814958436594E-02 
400	 1.79216599065476E-02 
401	 1.82236537852933E-02 
402	 1.81225929732635E-02 
403	 1.82175171652217E-02 
404	 1.87098099954191E-02 
405	 1.85137565429263E-02 
406	 1.88963216146747E-02 
407	 1.93161963156855E-02 
408	 1.89914245092765E-02 
409	 1.92640801045236E-02 
410	 1.95972799067051E-02 
411	 1.97540496602326E-02 
412	 0.0198492118057 
413	 1.99516259180343E-02 
414	 2.00962648696121E-02 
415	 2.03135486230058E-02 
416	 2.06624159756284E-02 
417	 2.09684622401802E-02 
418	 2.10504392326107E-02 
419	 2.08973709035493E-02 
420	 0.021284784135752 
421	 2.14902464823125E-02 
422	 2.14472072344741E-02 
423	 2.17032229855415E-02 
424	 2.20701003182364E-02 
425	 2.23277004405353E-02 
426	 2.24088771417415E-02 
427	 2.25857951762495E-02 
428	 2.27514494645494E-02 
429	 2.28898973363504E-02 
430	 2.30216035222571E-02 
431	 2.31981215215312E-02 
432	 2.33961184526841E-02 
433	 2.35935003076333E-02 
434	 0.023767679511836 
435	 2.37562942568551E-02 
436	 2.37730639899313E-02 
437	 2.39388455666011E-02 
438	 2.40740527391005E-02 
439	 2.41568671220642E-02 
440	 2.42494642644613E-02 
