Wavelength	ref00001.asd
350	 1.71179518575066E-02 
351	 0.017214352048845 
352	 1.67377418705709E-02 
353	 1.66921669845771E-02 
354	 1.66339081361618E-02 
355	 1.67729301604591E-02 
356	 1.70602663936069E-02 
357	 1.66558348545405E-02 
358	 1.67420398214496E-02 
359	 1.70756444308656E-02 
360	 1.71477538245567E-02 
361	 1.74199177255534E-02 
362	 1.74663479651321E-02 
363	 1.73531355939384E-02 
364	 1.74188450871222E-02 
365	 1.70956261819678E-02 
366	 1.68623632544756E-02 
367	 1.69740624925834E-02 
368	 0.017219388336075 
369	 0.017168198849958 
370	 0.017039408714612 
371	 1.70928167465561E-02 
372	 1.71937650761331E-02 
373	 1.71861697217896E-02 
374	 1.70805851228034E-02 
375	 1.69940288902862E-02 
376	 1.70624404482185E-02 
377	 1.72706867230783E-02 
378	 1.75738318882575E-02 
379	 0.017908458419132 
380	 0.017639691694558 
381	 1.76360291655276E-02 
382	 1.83566065255355E-02 
383	 0.01826900239758 
384	 0.018245295145377 
385	 1.84433785191518E-02 
386	 1.86948974049599E-02 
387	 0.018857376814341 
388	 1.91884353099827E-02 
389	 1.96008639867538E-02 
390	 1.96496715809096E-02 
391	 1.96407538376818E-02 
392	 0.019709158135232 
393	 1.99236501086838E-02 
394	 2.03007461741722E-02 
395	 2.07032559053246E-02 
396	 2.10031996148853E-02 
397	 0.021156325715156 
398	 2.14505391942319E-02 
399	 2.17432680923778E-02 
400	 2.20190212308813E-02 
401	 0.022364450030596 
402	 0.022411071798374 
403	 2.26000904382001E-02 
404	 2.31290512187075E-02 
405	 2.34981850745837E-02 
406	 2.37517198913474E-02 
407	 2.39575973957626E-02 
408	 2.42107230300289E-02 
409	 2.45986987682505E-02 
410	 2.49670812580592E-02 
411	 2.53579097810301E-02 
412	 0.025949698320599 
413	 2.61098634331656E-02 
414	 0.026253397635973 
415	 2.66205209750486E-02 
416	 0.026703233930352 
417	 2.71066368633792E-02 
418	 2.76022684582492E-02 
419	 0.027813952251547 
420	 2.81659430577362E-02 
421	 2.85324194021481E-02 
422	 2.88576402971134E-02 
423	 2.91678403504739E-02 
424	 2.94185956965975E-02 
425	 2.95796661063251E-02 
426	 2.97106814154023E-02 
427	 3.00698929683756E-02 
428	 3.03501652967705E-02 
429	 0.030529942165934 
430	 3.07142660307813E-02 
431	 3.10740132766713E-02 
432	 3.13289955745847E-02 
433	 3.14339997918344E-02 
434	 3.15693775127959E-02 
435	 3.18255221042068E-02 
436	 3.20277002787172E-02 
437	 3.21285778538716E-02 
438	 3.24569896286532E-02 
439	 3.26152362848303E-02 
440	 3.27006438111336E-02 
441	 3.29229484955643E-02 
442	 3.30734789782543E-02 
443	 3.32295655336415E-02 
444	 3.34183541672624E-02 
445	 3.36071832323356E-02 
446	 3.38533925490182E-02 
447	 3.40831137518864E-02 
448	 3.42649137034456E-02 
449	 3.45429000243319E-02 
450	 3.46752515189529E-02 
451	 3.47522423889675E-02 
452	 0.034970665895022 
453	 3.52065316919821E-02 
454	 3.54112501084998E-02 
455	 3.55745823093105E-02 
456	 3.57250367345044E-02 
457	 3.59111565043328E-02 
458	 3.60781720314218E-02 
459	 3.61785223045705E-02 
460	 3.62503602196609E-02 
461	 3.63641839616075E-02 
462	 3.64858220682088E-02 
463	 3.65412486535775E-02 
464	 0.036665999084274 
465	 3.68002063981109E-02 
466	 3.69171156034689E-02 
467	 3.70720045847805E-02 
468	 3.71606299164277E-02 
469	 3.72690123837594E-02 
470	 3.74713825082173E-02 
471	 3.75809864107782E-02 
472	 3.77329167708374E-02 
473	 0.037912038093557 
474	 3.80036364315816E-02 
475	 3.80935893445073E-02 
476	 3.81499649019818E-02 
477	 3.81942172676049E-02 
478	 3.83818064247923E-02 
479	 3.85535304028527E-02 
480	 3.86988089854556E-02 
481	 3.88513352572253E-02 
