Wavelength	ref00030.asd
350	 2.42790192645605E-02 
351	 0.024125171837232 
352	 2.38342975415595E-02 
353	 2.43978118010199E-02 
354	 2.42837912373133E-02 
355	 2.38518245496185E-02 
356	 2.36223264737376E-02 
357	 2.37273598064734E-02 
358	 2.35586159086431E-02 
359	 2.32834583594383E-02 
360	 0.023258928676246 
361	 2.35214388617973E-02 
362	 2.35951053058534E-02 
363	 2.34422634133097E-02 
364	 2.33179412478438E-02 
365	 2.31614771812136E-02 
366	 2.28825984120869E-02 
367	 2.26519581077422E-02 
368	 2.30112957234474E-02 
369	 2.28676735339375E-02 
370	 2.26352012920993E-02 
371	 2.27638815438182E-02 
372	 2.26368017593126E-02 
373	 2.25070306526682E-02 
374	 2.24294351502595E-02 
375	 0.022363954730296 
376	 2.23879244256078E-02 
377	 0.022386853250707 
378	 2.24089047653914E-02 
379	 2.26992534280209E-02 
380	 2.25428186742014E-02 
381	 2.23386905377088E-02 
382	 2.24398208994066E-02 
383	 2.23621994394818E-02 
384	 2.26242419891574E-02 
385	 2.27460063446628E-02 
386	 2.21350862573017E-02 
387	 2.25057374518094E-02 
388	 2.27163398459407E-02 
389	 2.24652856570778E-02 
390	 2.25219801258453E-02 
391	 2.26088699530442E-02 
392	 0.022594031810033 
393	 2.24980917118756E-02 
394	 2.26235092877673E-02 
395	 2.28645713091584E-02 
396	 2.30597053697999E-02 
397	 0.023075396345966 
398	 2.30542133431278E-02 
399	 2.28379887915197E-02 
400	 2.26434663731126E-02 
401	 2.29232195221422E-02 
402	 2.28281290219955E-02 
403	 2.28306099073532E-02 
404	 0.023190606803772 
405	 2.33722657550845E-02 
406	 2.33258818864126E-02 
407	 2.32887076497686E-02 
408	 2.34853181864523E-02 
409	 2.34210414315275E-02 
410	 2.34989509232847E-02 
411	 2.37458177388177E-02 
412	 2.38328779891263E-02 
413	 2.37568166614589E-02 
414	 2.37054573869025E-02 
415	 2.37882004983288E-02 
416	 0.023896499948147 
417	 2.39472285374173E-02 
418	 2.39933410835314E-02 
419	 2.41072618715164E-02 
420	 2.41746725998091E-02 
421	 2.42660450749689E-02 
422	 2.43448500999109E-02 
423	 2.42899458623217E-02 
424	 2.42623717703246E-02 
425	 2.43558449204999E-02 
426	 2.45374292092946E-02 
427	 2.45271656115199E-02 
428	 2.46164164233968E-02 
429	 2.46788162233163E-02 
430	 2.45443558120551E-02 
431	 2.45933520482791E-02 
432	 0.024741306246025 
433	 2.47861394500371E-02 
434	 2.45031563599273E-02 
435	 2.45584894070399E-02 
436	 2.46548865354064E-02 
437	 2.45823696207761E-02 
438	 2.46587806363487E-02 
439	 2.46092908831266E-02 
440	 2.45547473368195E-02 
441	 2.46717123076943E-02 
442	 2.46437542671701E-02 
443	 2.46461108223253E-02 
444	 2.47077005558354E-02 
445	 2.47012209800771E-02 
446	 2.47987576071063E-02 
447	 2.48439324150611E-02 
448	 2.47642230706227E-02 
449	 2.48358926031259E-02 
450	 2.48781791671975E-02 
451	 2.48609291323749E-02 
452	 2.48309871679386E-02 
453	 2.48870880745721E-02 
454	 2.49639819734262E-02 
455	 2.50128920583094E-02 
456	 2.50223263490301E-02 
457	 0.025036854733975 
458	 0.025053359540028 
459	 2.50529277954357E-02 
460	 2.49979271630365E-02 
461	 2.49911133176108E-02 
462	 2.49914163346671E-02 
463	 2.49043822812907E-02 
464	 2.49069513901804E-02 
465	 2.49915910240333E-02 
466	 2.50769342037272E-02 
467	 2.50036834210941E-02 
