Wavelength	ref00028.asd
350	 1.42410375691509E-02 
351	 1.46697605153018E-02 
352	 1.41383159926536E-02 
353	 1.38229119627368E-02 
354	 1.40413267825807E-02 
355	 1.41826922392367E-02 
356	 1.38672154108698E-02 
357	 1.35265285988553E-02 
358	 1.34887107673837E-02 
359	 1.37025522920601E-02 
360	 1.39739466592142E-02 
361	 1.42357649618189E-02 
362	 0.014145625037154 
363	 0.013939108345995 
364	 1.41064872615801E-02 
365	 1.36578241966629E-02 
366	 1.32397634883904E-02 
367	 1.32320968514176E-02 
368	 1.33748993777092E-02 
369	 1.35004028116951E-02 
370	 1.35077487578811E-02 
371	 1.33837785811966E-02 
372	 1.32521612252116E-02 
373	 1.32513377324159E-02 
374	 0.013307727283502 
375	 1.32639809974106E-02 
376	 1.32384163750831E-02 
377	 1.33508778615377E-02 
378	 1.34758171642198E-02 
379	 1.32195249969063E-02 
380	 1.32087171616159E-02 
381	 1.34104711852701E-02 
382	 0.013587242997109 
383	 1.33330818094921E-02 
384	 1.34023228565996E-02 
385	 1.36497415853879E-02 
386	 1.36286353514281E-02 
387	 1.38306646371944E-02 
388	 1.40437223209445E-02 
389	 1.41106852821263E-02 
390	 1.40085478354305E-02 
391	 1.41285151273425E-02 
392	 1.43091896307837E-02 
393	 1.43834201057694E-02 
394	 1.43717392312651E-02 
395	 1.47551471781405E-02 
396	 1.51653596660584E-02 
397	 0.015097619645426 
398	 1.50168039633084E-02 
399	 1.50096242330905E-02 
400	 1.50778074610586E-02 
401	 1.51655074117509E-02 
402	 1.52134403709075E-02 
403	 1.53073774849521E-02 
404	 1.54610582536217E-02 
405	 1.54760037951535E-02 
406	 1.57271663747232E-02 
407	 1.60122406002848E-02 
408	 1.60276911277425E-02 
409	 1.60636386094381E-02 
410	 1.60950925753186E-02 
411	 1.61739608483421E-02 
412	 1.64087142617034E-02 
413	 1.65804692043063E-02 
414	 1.67356723775427E-02 
415	 1.68833336545976E-02 
416	 1.68468643871646E-02 
417	 1.68561925993345E-02 
418	 1.69655001762672E-02 
419	 1.71251973839886E-02 
420	 1.71188164626721E-02 
421	 1.71552432187839E-02 
422	 1.72978091885436E-02 
423	 1.74618480964657E-02 
424	 1.76348734293219E-02 
425	 1.77554542408263E-02 
426	 1.78050826342689E-02 
427	 1.78638457346278E-02 
428	 1.79224157262328E-02 
429	 1.79487187696805E-02 
430	 0.017941698491984 
431	 1.81084796012461E-02 
432	 1.82281811132169E-02 
433	 1.82406462248637E-02 
434	 1.82467683691924E-02 
435	 1.82759821619393E-02 
436	 1.83032872392506E-02 
437	 1.83186171373342E-02 
438	 1.83567775510013E-02 
439	 1.84956386254331E-02 
440	 1.86173381014313E-02 
441	 1.85936245879654E-02 
442	 1.86474015126428E-02 
443	 0.018696059206096 
444	 1.87313898453718E-02 
445	 1.88286131042504E-02 
446	 1.89592811565691E-02 
447	 1.90439994020637E-02 
448	 1.90665745271173E-02 
449	 1.91849856080836E-02 
450	 1.92796947502359E-02 
451	 0.019356017340668 
452	 1.94627532626039E-02 
453	 1.95705677776291E-02 
454	 1.96308454105083E-02 
455	 1.96512914830242E-02 
456	 1.97048176012564E-02 
457	 1.97568313517864E-02 
458	 1.97907669463399E-02 
459	 1.97981857461754E-02 
460	 1.97728592267028E-02 
461	 1.98158597865903E-02 
462	 1.98659309177513E-02 
463	 1.98013989628413E-02 
464	 1.98218817770926E-02 
465	 1.98484580414795E-02 
466	 1.98577223935768E-02 
467	 1.99563219906609E-02 
468	 1.99517218023789E-02 
469	 1.99045414703346E-02 
