Wavelength	ref00105.asd
350	 1.57410587241818E-02 
351	 1.57617248484109E-02 
352	 1.55304808010054E-02 
353	 1.54680494814035E-02 
354	 1.52799703286763E-02 
355	 1.54928871472366E-02 
356	 1.60799003809445E-02 
357	 1.55776514332184E-02 
358	 1.54521357124496E-02 
359	 1.54553253789839E-02 
360	 1.51472997935852E-02 
361	 1.57157463845598E-02 
362	 1.58443532387916E-02 
363	 1.55056436722608E-02 
364	 1.55099114552321E-02 
365	 1.53632821361757E-02 
366	 1.54372553930033E-02 
367	 1.57550989077613E-02 
368	 1.57512442842807E-02 
369	 1.53694386799313E-02 
370	 1.52224392936501E-02 
371	 1.56943124551225E-02 
372	 1.60477787643832E-02 
373	 1.61170692488641E-02 
374	 1.59648710290403E-02 
375	 1.58089080474172E-02 
376	 1.59651557131896E-02 
377	 1.58597094119368E-02 
378	 1.56158466024009E-02 
379	 1.62357768975441E-02 
380	 1.62265711942899E-02 
381	 1.60652896513415E-02 
382	 1.62644921567497E-02 
383	 1.62127006021502E-02 
384	 1.62538021784277E-02 
385	 1.63981549479262E-02 
386	 1.65217541952727E-02 
387	 1.66511442811111E-02 
388	 1.68070662173881E-02 
389	 1.69176407095484E-02 
390	 0.016834093659542 
391	 1.67869892878861E-02 
392	 1.68430590483673E-02 
393	 1.69709947303883E-02 
394	 1.69911891076547E-02 
395	 1.71410374749584E-02 
396	 1.73859152824412E-02 
397	 1.76057630108246E-02 
398	 1.78213137076007E-02 
399	 1.78321393732155E-02 
400	 1.77913699662382E-02 
401	 1.80883449574215E-02 
402	 1.81329393161004E-02 
403	 1.79785530139406E-02 
404	 1.78948325322355E-02 
405	 1.84485728102253E-02 
406	 1.86071731126231E-02 
407	 1.85244208899757E-02 
408	 1.86619112459894E-02 
409	 1.87331433439307E-02 
410	 1.88338658889807E-02 
411	 1.90124088274237E-02 
412	 1.92488713107927E-02 
413	 1.93594025650988E-02 
414	 1.94298617229975E-02 
415	 1.95477895058901E-02 
416	 1.97029656524709E-02 
417	 0.019939460994956 
418	 2.01146280096024E-02 
419	 2.00929861772588E-02 
420	 2.00621847734673E-02 
421	 2.03353532036093E-02 
422	 2.07511942424586E-02 
423	 2.07772309164749E-02 
424	 2.08943043467415E-02 
425	 2.10513029462798E-02 
426	 2.11338037139733E-02 
427	 2.10412810095201E-02 
428	 2.13574959285953E-02 
429	 2.16724624628061E-02 
430	 2.14765318556532E-02 
431	 2.17144647258756E-02 
432	 2.19897858712746E-02 
433	 2.21292633673033E-02 
434	 2.22246675943989E-02 
435	 2.23782059622372E-02 
436	 2.25004535926577E-02 
437	 2.25525209669321E-02 
438	 2.26691600381673E-02 
439	 2.27578866738681E-02 
440	 2.28170422959084E-02 
441	 2.28883967004707E-02 
442	 2.30655345546218E-02 
443	 2.32417560757335E-02 
444	 2.33523833832286E-02 
445	 2.33936074746011E-02 
446	 2.35595154663264E-02 
447	 2.37012703781939E-02 
