Wavelength	ref00103.asd
350	 7.0760453945491E-03 
351	 6.91898106268437E-03 
352	 6.55062250330294E-03 
353	 7.13602979643601E-03 
354	 7.22144582018605E-03 
355	 7.13014801075956E-03 
356	 7.18757090753226E-03 
357	 7.01173134860393E-03 
358	 7.06445765224679E-03 
359	 7.06713458471052E-03 
360	 6.75341071777469E-03 
361	 6.86146926564327E-03 
362	 7.34233340109496E-03 
363	 7.62147220016282E-03 
364	 7.0239149327475E-03 
365	 7.09748701256974E-03 
366	 7.1384173308068E-03 
367	 6.78821172699831E-03 
368	 6.54434237084692E-03 
369	 6.50733046613852E-03 
370	 6.52285254852797E-03 
371	 6.48101721866021E-03 
372	 6.65810175350314E-03 
373	 6.77769211415431E-03 
374	 6.63011450316467E-03 
375	 6.17216765933589E-03 
376	 6.17800972844647E-03 
377	 6.41628985957799E-03 
378	 6.58506600103551E-03 
379	 6.44149352148607E-03 
380	 6.49797078432939E-03 
381	 6.61219533494265E-03 
382	 6.61967525387368E-03 
383	 6.71674971990413E-03 
384	 6.72406983617433E-03 
385	 6.61782800490186E-03 
386	 6.4763702775894E-03 
387	 0.006479835134944 
388	 6.74946974965229E-03 
389	 7.02971226151568E-03 
390	 6.7584478361853E-03 
391	 7.03486094715903E-03 
392	 7.0825514675871E-03 
393	 6.52544996499405E-03 
394	 6.64651899645526E-03 
395	 6.80757664621156E-03 
396	 6.81097187079694E-03 
397	 6.70221980734395E-03 
398	 6.99324069163051E-03 
399	 6.96801257251104E-03 
400	 6.69228344630355E-03 
401	 6.85682237095056E-03 
402	 6.79928375940809E-03 
403	 6.8231054546355E-03 
404	 7.04896775999439E-03 
405	 6.92506124515545E-03 
406	 6.96740414673185E-03 
407	 7.08417238630308E-03 
408	 7.03410339190502E-03 
409	 6.92258216658168E-03 
410	 6.9725186159369E-03 
411	 7.14422379286393E-03 
412	 7.17814854811428E-03 
413	 7.14974345181338E-03 
414	 7.22203785342995E-03 
415	 7.42155808580195E-03 
416	 7.47289661485825E-03 
417	 7.48898512878421E-03 
418	 7.44754317064361E-03 
419	 7.33707967354159E-03 
420	 7.37165226091246E-03 
421	 7.59055806748945E-03 
422	 7.81404760215581E-03 
423	 7.71829453021625E-03 
424	 7.66665526435204E-03 
425	 7.69953739160593E-03 
426	 7.76572315212498E-03 
427	 7.7388677134042E-03 
428	 7.7643837293051E-03 
429	 7.80261075459361E-03 
430	 7.79176623817319E-03 
431	 7.91560449797155E-03 
432	 8.01939074617359E-03 
433	 8.03117504425225E-03 
434	 7.98179715027646E-03 
435	 8.11252770214867E-03 
436	 8.17197543652311E-03 
437	 8.05115478676314E-03 
438	 8.0954619891256E-03 
439	 8.13966349839243E-03 
440	 8.18688684926066E-03 
441	 8.27054001042137E-03 
442	 8.28506752600248E-03 
443	 8.28608861547955E-03 
444	 8.29974268715333E-03 
445	 8.31647920034508E-03 
446	 0.008416478734715 
447	 8.43294914090689E-03 
448	 8.31826032922294E-03 
449	 8.42561199491357E-03 
450	 8.48005982262037E-03 
451	 8.49075936192219E-03 
452	 8.56745767018209E-03 
453	 8.64183020170677E-03 
454	 8.66270275201549E-03 
455	 8.65490301279725E-03 
456	 8.72632064784739E-03 
457	 8.75170660983712E-03 
458	 8.78083129582666E-03 
459	 8.83986581871106E-03 
460	 8.74715861264233E-03 
461	 8.76547374156953E-03 
462	 8.84132262977502E-03 
463	 8.78188084722057E-03 
464	 8.82772776733695E-03 
465	 8.91957806731102E-03 
466	 8.9897000572212E-03 
467	 9.00669339785446E-03 
468	 9.03334616288097E-03 
469	 9.01709710227902E-03 
470	 8.93336451234317E-03 
471	 8.98950928393883E-03 
472	 0.009006784954183 
473	 8.99594899859388E-03 
474	 9.0917448623349E-03 
475	 9.17542223979009E-03 
476	 9.17081816479437E-03 
