Wavelength	ref00024.asd
350	 6.08132159480827E-02 
351	 6.11624738229947E-02 
352	 0.060734193283351 
353	 0.06074036591922 
354	 0.06062236115297 
355	 6.03357686513904E-02 
356	 5.99992153524877E-02 
357	 5.98579069594629E-02 
358	 6.00083293567224E-02 
359	 5.99528103400903E-02 
360	 0.059434654701411 
361	 6.00243740180839E-02 
362	 6.01619488651268E-02 
363	 5.97545524000672E-02 
364	 5.96988833624362E-02 
365	 5.97470674308877E-02 
366	 5.96681989745012E-02 
367	 5.95852334650056E-02 
368	 6.01068665089582E-02 
369	 6.05267428324661E-02 
370	 6.07342824982411E-02 
371	 6.07791458658202E-02 
372	 6.06295247541624E-02 
373	 6.09250871813803E-02 
374	 6.14140496957246E-02 
375	 6.15232349009503E-02 
376	 6.21190669907364E-02 
377	 6.25599376011857E-02 
378	 0.062755638831702 
379	 6.34040361498384E-02 
380	 6.34920841099299E-02 
381	 6.37699476172686E-02 
382	 6.47851195123619E-02 
383	 6.55442331453094E-02 
384	 0.066242619634025 
385	 6.69192482849405E-02 
386	 6.75772808873162E-02 
387	 6.83114779369299E-02 
388	 6.92152208224472E-02 
389	 7.01411684702305E-02 
390	 7.07285034377824E-02 
391	 7.14754978079449E-02 
392	 7.22796142454736E-02 
393	 7.30309283820544E-02 
394	 7.38469701112641E-02 
395	 7.47456895008606E-02 
396	 7.57214250715715E-02 
397	 7.67071589492732E-02 
398	 7.74566730139626E-02 
399	 7.78716967398217E-02 
400	 7.82670370747484E-02 
401	 7.91863540755749E-02 
402	 7.96551518837456E-02 
403	 7.99601428037132E-02 
404	 0.080376971263039 
405	 8.07641123665987E-02 
406	 8.12122215607402E-02 
407	 8.16013421189915E-02 
408	 8.18182223830908E-02 
409	 8.21757126429063E-02 
410	 8.24247748523289E-02 
411	 8.25590830165648E-02 
412	 8.27873142295087E-02 
413	 8.28713774919127E-02 
414	 8.29602363459914E-02 
415	 8.30915635165761E-02 
416	 8.29173579900763E-02 
417	 8.29931195171528E-02 
418	 8.31029157452051E-02 
419	 8.29005253921534E-02 
420	 8.28227038629424E-02 
421	 8.28061826554264E-02 
422	 8.26951032374729E-02 
423	 8.23152984882046E-02 
424	 8.22124940818038E-02 
425	 0.082198401246507 
426	 8.20437344911749E-02 
427	 8.16934444379875E-02 
428	 8.15030730352606E-02 
429	 8.12390813106121E-02 
430	 8.06397667623901E-02 
431	 8.04466838986247E-02 
432	 8.02567084289988E-02 
433	 7.99423873230216E-02 
434	 7.96666057188401E-02 
435	 7.94092610507396E-02 
436	 0.07915198963874 
437	 7.88852327330697E-02 
438	 7.86167430214024E-02 
439	 7.83922208231626E-02 
440	 7.81557449128888E-02 
441	 7.78605535990997E-02 
442	 7.77268459930669E-02 
443	 7.74991385582524E-02 
444	 0.077173114821349 
445	 7.69905709555343E-02 
446	 7.67372178421222E-02 
447	 0.0764882918797 
448	 7.63051003007779E-02 
449	 7.61008712836835E-02 
450	 0.075800359983512 
451	 7.54952683004807E-02 
452	 7.53059267295173E-02 
453	 7.50190577100599E-02 
454	 7.47069468325415E-02 
455	 7.44173080409859E-02 
456	 7.41413724057733E-02 
457	 7.38793207896144E-02 
458	 7.35436838809559E-02 
459	 7.31040212525916E-02 
460	 7.27430668960333E-02 
461	 7.24201795161529E-02 
462	 7.20917940678121E-02 
463	 7.17289841435557E-02 
464	 7.14539603280636E-02 
465	 7.12046364370879E-02 
466	 7.09296086584081E-02 
467	 7.06233574673115E-02 
468	 7.03840879534724E-02 
469	 7.01253545910554E-02 
470	 6.97755579918927E-02 
471	 6.95273393338069E-02 
472	 6.92876223255695E-02 
473	 6.90506297698095E-02 
474	 6.88668911342686E-02 
475	 6.86504090709953E-02 
476	 6.84226451759527E-02 
477	 6.82216581598954E-02 
478	 6.80875139066361E-02 
479	 6.80044358419179E-02 
480	 6.78995814806153E-02 
481	 0.067717312671679 
482	 6.75841700426252E-02 
483	 6.75122394806285E-02 
484	 0.067481900821913 
485	 6.74446684584623E-02 
486	 6.73446295961787E-02 
487	 6.72635152157138E-02 
488	 6.72477703501878E-02 
489	 6.71753829264035E-02 
490	 6.71127768624308E-02 
491	 6.70879785412625E-02 
492	 6.71045012823853E-02 
493	 6.71189105405921E-02 
494	 6.71375877117767E-02 
495	 6.71691429994347E-02 
496	 6.72189757815728E-02 
497	 6.71990871330367E-02 
498	 6.72373603687753E-02 
499	 6.74183194165962E-02 
500	 6.75079159090258E-02 
501	 6.75756132082628E-02 
502	 6.76486698075113E-02 
503	 6.77274496247892E-02 
