Wavelength	ref00077.asd
350	 7.00041542037218E-02 
351	 6.98234981017205E-02 
352	 7.02673855508629E-02 
353	 7.07880358580351E-02 
354	 7.05599197969556E-02 
355	 7.05356524054069E-02 
356	 7.12021076923428E-02 
357	 7.14776341325109E-02 
358	 7.12386958450821E-02 
359	 7.11040785720437E-02 
360	 7.16920770678102E-02 
361	 7.27184662245326E-02 
362	 7.23310866937881E-02 
363	 7.14683799863829E-02 
364	 7.24922481956738E-02 
365	 7.25719522075903E-02 
366	 7.25186654119077E-02 
367	 7.27341747967652E-02 
368	 7.24250165877558E-02 
369	 7.26056023308319E-02 
370	 7.28511418198956E-02 
371	 7.27220393382376E-02 
372	 7.28113302784632E-02 
373	 7.29113299855311E-02 
374	 7.31098132458619E-02 
375	 7.35518223887117E-02 
376	 7.36456253612699E-02 
377	 7.38045736333012E-02 
378	 7.41532338052588E-02 
379	 7.43654174374308E-02 
380	 7.43718270412322E-02 
381	 7.44310260489163E-02 
382	 7.47118742489988E-02 
383	 7.49807534638455E-02 
384	 7.49606892301902E-02 
385	 7.49496005186693E-02 
386	 7.53887388031023E-02 
387	 0.075824644383028 
388	 7.60378063768542E-02 
389	 7.60807386476966E-02 
390	 7.62638963187157E-02 
391	 7.68075522753978E-02 
392	 7.71234880114968E-02 
393	 7.69319444809518E-02 
394	 7.68589327737843E-02 
395	 7.75678946554853E-02 
396	 7.83377660674436E-02 
397	 7.82397331273574E-02 
398	 7.80462525398813E-02 
399	 7.80806382326312E-02 
400	 7.85001797131964E-02 
401	 7.92543485873957E-02 
402	 7.90019094154534E-02 
403	 7.86873649711728E-02 
404	 7.89557147798532E-02 
405	 7.91750757770028E-02 
406	 7.94281791707091E-02 
407	 7.96095835466526E-02 
408	 7.96329801814709E-02 
409	 7.97380007486807E-02 
410	 7.99168419155483E-02 
411	 8.01299165329303E-02 
412	 0.080334961913449 
413	 8.07771337895191E-02 
414	 0.081041652290507 
415	 8.09856670491694E-02 
416	 8.12174170925346E-02 
417	 8.15829418234565E-02 
418	 8.18595789857912E-02 
419	 8.18791714228607E-02 
420	 8.18914845489844E-02 
421	 8.21860225200197E-02 
422	 8.26317327042866E-02 
423	 8.27646713756971E-02 
424	 8.28879160787362E-02 
425	 8.31368495277179E-02 
426	 8.34940023323017E-02 
427	 0.083687491167759 
428	 8.37651442096819E-02 
429	 8.38512297290461E-02 
430	 8.40616082078477E-02 
431	 8.42662031995733E-02 
432	 8.46196897706901E-02 
433	 8.49603190295193E-02 
434	 8.49111814168618E-02 
435	 8.53164610843681E-02 
436	 8.55491610531918E-02 
437	 8.53376847429878E-02 
438	 8.56297572672794E-02 
439	 8.59008641973517E-02 
440	 8.60708479080159E-02 
441	 8.62172110194111E-02 
442	 8.64125500855805E-02 
443	 8.66777278224599E-02 
444	 8.69587327441297E-02 
445	 8.71444483917528E-02 
446	 8.72728334646022E-02 
447	 8.75009202801658E-02 
448	 8.78628997210337E-02 
449	 8.80508550369739E-02 
450	 8.82426202380878E-02 
451	 0.088435706669266 
452	 8.85706757446698E-02 
453	 8.87136642425445E-02 
454	 8.89403767050799E-02 
455	 8.92106309431258E-02 
456	 8.93556093571372E-02 
457	 8.95331564139295E-02 
458	 8.96948094806949E-02 
459	 8.97935992711092E-02 
460	 8.99094697867261E-02 
461	 0.090147509828907 
462	 9.04169578434793E-02 
463	 9.05381989163238E-02 
464	 9.05972622532487E-02 
465	 9.07425636588608E-02 
466	 0.09096856450233 
467	 9.10319243294782E-02 
468	 0.091207580659339 
469	 9.14638808443164E-02 
470	 9.16804874915574E-02 
471	 9.17492671160394E-02 
472	 0.091871603467892 
473	 9.21008749964811E-02 
474	 9.23601850683163E-02 
475	 9.24525033440219E-02 
476	 9.25220458891283E-02 
477	 9.26747634787437E-02 
478	 9.28530644988862E-02 
479	 9.30190149985451E-02 
480	 9.31987007519963E-02 
481	 9.34184784586518E-02 
482	 9.35799229583559E-02 
483	 0.093693897429371 
484	 9.38708472950264E-02 
485	 9.42866055478403E-02 
486	 9.44963583145204E-02 
487	 9.46363793558192E-02 
488	 9.48955830279468E-02 
489	 9.52909018927434E-02 
490	 9.56330428705927E-02 
491	 9.58994317325062E-02 
492	 9.61585802962162E-02 
493	 9.64821258301182E-02 
494	 9.68667578447289E-02 
495	 9.72742692986141E-02 
496	 9.76356421934428E-02 
497	 9.80102802322383E-02 
498	 9.84554744215116E-02 
