Wavelength	ref00126.asd
350	 0.499996671232951 
351	 0.495450801522188 
352	 0.490820977169773 
353	 0.464249753747977 
354	 0.470910281709795 
355	 0.486802263358489 
356	 0.48652009379305 
357	 0.474565819812832 
358	 0.461897646246585 
359	 0.451058264244371 
360	 0.4461840692552 
361	 0.465036210148146 
362	 0.459962913495237 
363	 0.443307167398168 
364	 0.460182073327286 
365	 0.449188222293215 
366	 0.445042525678726 
367	 0.458571542559001 
368	 0.453705292027657 
369	 0.444873132908698 
370	 0.441420500469098 
371	 0.44539540382415 
372	 0.44288080149996 
373	 0.430338060880807 
374	 0.416044508101439 
375	 0.411859197347524 
376	 0.411165468854002 
377	 0.41113216010216 
378	 0.411636169702597 
379	 0.415173228733726 
380	 0.405612470016997 
381	 0.401436200952012 
382	 0.411129548386973 
383	 0.398068928318602 
384	 0.392889856887977 
385	 0.391809334764377 
386	 0.381178568613673 
387	 0.385600800321444 
388	 0.389241145535282 
389	 0.386319739415831 
390	 0.383406900154871 
391	 0.374057426990066 
392	 0.36757862110079 
393	 0.368568622923577 
394	 0.368032050459643 
395	 0.366637226968153 
396	 0.364987729475391 
397	 0.363366754740046 
398	 0.35957648771198 
399	 0.355305979717241 
400	 0.352074811339204 
401	 0.350854469256159 
402	 0.3448503495293 
403	 0.34263440111821 
404	 0.346574261327096 
405	 0.342452624624689 
406	 0.337349712490274 
407	 0.333420241008157 
408	 0.331431364327889 
409	 0.333316038960722 
410	 0.330198580051764 
411	 0.324795551106822 
412	 0.328408517528162 
413	 0.32596639190543 
414	 0.32173120242021 
415	 0.320295012329396 
416	 0.320862210019444 
417	 0.32143020171539 
418	 0.321917874278135 
419	 0.321730665789188 
420	 0.313158349274761 
421	 0.312818431400055 
422	 0.319349705469845 
423	 0.31663305736665 
424	 0.318401481739255 
425	 0.317818431142098 
426	 0.312637366928288 
427	 0.317555663948646 
428	 0.317423289739715 
429	 0.315308131474055 
430	 0.318051255102244 
431	 0.317611502737618 
432	 0.318099261535956 
433	 0.318883771187798 
434	 0.3155516525201 
435	 0.315359482593109 
436	 0.316424726832644 
437	 0.316659516260845 
438	 0.3165700520394 
439	 0.316734414237129 
440	 0.317070508394685 
441	 0.31722867809181 
442	 0.316979784869306 
443	 0.31609239327713 
444	 0.315936374286258 
445	 0.318968526329408 
446	 0.31885191571682 
447	 0.317809708208571 
448	 0.318159110761261 
449	 0.31868942446515 
450	 0.318890632980368 
451	 0.318658627764945 
452	 0.318054451503406 
453	 0.316422785982325 
454	 0.31669237404547 
455	 0.31840142906862 
456	 0.317092681060712 
457	 0.315966307967158 
458	 0.315087507382188 
459	 0.314045790582762 
460	 0.31313375568383 
461	 0.311944777508407 
462	 0.310681744701554 
463	 0.309841669945302 
464	 0.30936571886353 
465	 0.309054069511329 
466	 0.308608895353348 
467	 0.307626395770671 
468	 0.306255488237566 
469	 0.304845697331627 
470	 0.303765599451746 
471	 0.303190345337439 
472	 0.302985299792007 
473	 0.303108431467892 
474	 0.303422383931074 
475	 0.301887766574391 
476	 0.300637248113359 
477	 0.300370865363967 
478	 0.297881900468846 
479	 0.298290125152985 
480	 0.299667183257542 
481	 0.298725750445449 
482	 0.298270059328274 
483	 0.297252500617344 
484	 0.296096291095679 
485	 0.296596933926107 
486	 0.295170703207281 
487	 0.293681971699526 
488	 0.293834076905645 
489	 0.294207820727735 
490	 0.294335544621187 
491	 0.294132481031535 
492	 0.293834099780818 
493	 0.29403014220041 
494	 0.294524955952492 
495	 0.29548768307415 
496	 0.297573020545381 
497	 0.298475422489186 
498	 0.299793591897093 
499	 0.302791993044326 
500	 0.304413179476188 
501	 0.306627441807417 
502	 0.309422648219237 
503	 0.311794536108826 
504	 0.315318721332572 
505	 0.31911172467706 
506	 0.322967899267378 
507	 0.328276469678852 
508	 0.333879172795135 
509	 0.339865979657374 
510	 0.346523101802637 
511	 0.353081763535444 
512	 0.360686100109693 
513	 0.369419239027678 
514	 0.378486591727697 
515	 0.386950357199494 
516	 0.396640057656579 
517	 0.40832784362189 
518	 0.419251658335739 
519	 0.430131468691472 
520	 0.440958940069869 
521	 0.451748756968028 
522	 0.463354736168502 
523	 0.475177643382597 
524	 0.486579540407554 
525	 0.496774154679892 
526	 0.506916624884446 
527	 0.517178372080519 
528	 0.527369343170746 
529	 0.536932657099869 
530	 0.545399293504707 
531	 0.553153145484861 
532	 0.560968898569571 
533	 0.567700294443567 
534	 0.57448833627324 
535	 0.581272836384824 
536	 0.585680473645759 
537	 0.589187622943449 
538	 0.593094668183943 
539	 0.598042728151991 
540	 0.6019123823885 
541	 0.605287062624331 
542	 0.607980429161734 
543	 0.609297479878453 
544	 0.612347506880984 
545	 0.615478993828764 
546	 0.617463039302958 
547	 0.61988320015976 
548	 0.621845942089565 
549	 0.623267884033628 
550	 0.624301072098597 
551	 0.62446359089317 
552	 0.624053831872178 
553	 0.623257998625695 
554	 0.622053604925057 
555	 0.61893538911217 
556	 0.615415017792134 
557	 0.61261210958744 
558	 0.607954599366274 
559	 0.602710304359763 
560	 0.597238138332639 
561	 0.591314088874813 
562	 0.58561959207635 
563	 0.578956592804094 
564	 0.571350344677097 
565	 0.565417030325479 
566	 0.558906662783821 
567	 0.551075400498745 
568	 0.542149139724059 
569	 0.534249006418433 
570	 0.526533155934973 
571	 0.518506910787015 
572	 0.510129535725283 
573	 0.501682369383732 
574	 0.494388001234963 
575	 0.488485588595581 
576	 0.481530768034002 
577	 0.474788827060417 
578	 0.468520743777421 
579	 0.462627283202873 
580	 0.457962313525806 
581	 0.453422938018336 
