Wavelength	ref00013.asd
350	 2.76067686252819E-02 
351	 2.79206020460614E-02 
352	 2.74930502786782E-02 
353	 2.87776968004679E-02 
354	 2.88136838100556E-02 
355	 2.88795469232074E-02 
356	 2.98302031612653E-02 
357	 3.00874894842972E-02 
358	 3.02473600415545E-02 
359	 3.08125493094754E-02 
360	 3.18626462426377E-02 
361	 3.18448253124767E-02 
362	 3.19589696971011E-02 
363	 3.26125971772407E-02 
364	 3.35189426844484E-02 
365	 3.38346421960315E-02 
366	 3.43016138791356E-02 
367	 3.50370359457918E-02 
368	 0.0350189525389 
369	 3.55856079441133E-02 
370	 3.61707391750533E-02 
371	 3.62255066945735E-02 
372	 3.67127870766825E-02 
373	 3.71027670723016E-02 
374	 3.72734004713332E-02 
375	 3.74112023577171E-02 
376	 3.82444305833863E-02 
377	 3.90779549153983E-02 
378	 3.96193429969031E-02 
379	 4.02112304190985E-02 
380	 0.040541048125453 
381	 4.08755584421764E-02 
382	 4.13842240901329E-02 
383	 4.16138302582361E-02 
384	 4.21016708747933E-02 
385	 4.27558067233065E-02 
386	 4.32858447280429E-02 
387	 4.41075906705648E-02 
388	 4.51352367582541E-02 
389	 4.59939769474323E-02 
390	 4.61199561141908E-02 
391	 4.63630057611531E-02 
392	 4.67013164716028E-02 
393	 4.70047464828322E-02 
394	 4.72777190061406E-02 
395	 4.76714978449534E-02 
396	 4.82544204894085E-02 
397	 4.90291685672947E-02 
398	 4.99248841697737E-02 
399	 5.06900605015618E-02 
400	 5.12175785273021E-02 
401	 5.15549860525216E-02 
402	 5.20864458551373E-02 
403	 5.23630033716447E-02 
404	 5.22201469396209E-02 
405	 5.22915921408913E-02 
406	 5.24633093707708E-02 
407	 5.25716519970876E-02 
408	 5.25357900152784E-02 
409	 5.28699762714411E-02 
410	 5.32068700854332E-02 
411	 5.34450498501022E-02 
412	 0.053740064786572 
413	 5.38526417656932E-02 
414	 5.39930269185545E-02 
415	 5.42379599329025E-02 
416	 5.42312506071894E-02 
417	 5.43009661358188E-02 
418	 0.054388749951685 
419	 5.43728022455027E-02 
420	 5.45173045188917E-02 
421	 5.46017528113484E-02 
422	 5.46169854214162E-02 
423	 5.47446722852321E-02 
424	 5.48385547366127E-02 
425	 5.47937307406289E-02 
426	 5.46450604912868E-02 
427	 5.47217093552092E-02 
428	 5.46691359624769E-02 
429	 5.44452976077415E-02 
430	 5.41981292883156E-02 
431	 5.43733594650773E-02 
432	 5.45562872817751E-02 
433	 5.46340923269015E-02 
434	 5.47874729108323E-02 
435	 5.48639485192263E-02 
436	 5.47807372436943E-02 
437	 5.45749711004248E-02 
438	 5.45018982933185E-02 
439	 5.43452144501949E-02 
440	 5.41950042908535E-02 
441	 5.41843665511786E-02 
442	 5.40784097495999E-02 
443	 0.053968679087235 
444	 5.38407562478215E-02 
445	 5.35721704141295E-02 
446	 5.33059216584696E-02 
447	 5.31045526884738E-02 
