Wavelength	ref00080.asd
350	 1.19972462090413E-02 
351	 1.20135149485818E-02 
352	 1.15463718395888E-02 
353	 1.24923334023345E-02 
354	 1.20980142316196E-02 
355	 1.13465461638136E-02 
356	 1.12441097927576E-02 
357	 1.14417836100625E-02 
358	 0.011689864982758 
359	 1.21057943575032E-02 
360	 1.27133285461482E-02 
361	 1.27243274956436E-02 
362	 1.19024445708967E-02 
363	 1.11053955129337E-02 
364	 1.15794840165369E-02 
365	 1.13456517062011E-02 
366	 1.11846960910458E-02 
367	 1.14243380676819E-02 
368	 1.13041077685293E-02 
369	 1.13503477853861E-02 
370	 1.10424817942738E-02 
371	 1.02451786210962E-02 
372	 1.07464537185028E-02 
373	 1.10724023284628E-02 
374	 1.10075644306881E-02 
375	 1.09829358880208E-02 
376	 1.08602619292442E-02 
377	 1.07396511727915E-02 
378	 1.07535089318393E-02 
379	 1.10362257497019E-02 
380	 1.09406032437614E-02 
381	 1.08311772193715E-02 
382	 0.010991929324037 
383	 1.08485954526647E-02 
384	 1.08875778809935E-02 
385	 1.11403518575242E-02 
386	 0.011352992021426 
387	 1.08388387969265E-02 
388	 1.09410661401223E-02 
389	 1.15675563476208E-02 
390	 0.011105372584416 
391	 1.09004175367231E-02 
392	 1.09968171105263E-02 
393	 1.12066998326299E-02 
394	 0.011412993821753 
395	 1.14807495744917E-02 
396	 1.15340908382106E-02 
397	 1.16966787662476E-02 
398	 1.15903226404006E-02 
399	 1.12576229707037E-02 
400	 1.10501072321089E-02 
401	 1.14583674761128E-02 
402	 1.17445876448591E-02 
403	 1.15930443473909E-02 
404	 1.12525724281452E-02 
405	 1.20335654360713E-02 
406	 1.21383427547566E-02 
407	 1.18847490420855E-02 
408	 1.20903413896588E-02 
409	 1.20681892661383E-02 
410	 1.21369719147817E-02 
411	 1.23975744289673E-02 
412	 0.012700749158508 
413	 1.26866548106132E-02 
414	 1.26421505514308E-02 
415	 1.27687831296319E-02 
416	 0.012846812404982 
417	 1.32238387127498E-02 
418	 1.34419067367499E-02 
419	 1.30964787600439E-02 
420	 1.34728445309595E-02 
421	 1.38135700688545E-02 
422	 1.38286221608262E-02 
423	 1.37460966923007E-02 
424	 1.38516653709717E-02 
425	 1.40791638747371E-02 
426	 1.42511019424036E-02 
427	 1.40402736873117E-02 
428	 1.44007176786185E-02 
429	 1.47939965146566E-02 
430	 1.44863009185021E-02 
431	 1.46989810033644E-02 
432	 1.49081405706579E-02 
433	 1.48846039091493E-02 
434	 1.47593191272843E-02 
435	 1.49029878039574E-02 
436	 1.50999554967999E-02 
437	 1.51718806970526E-02 
438	 1.52098314869306E-02 
439	 1.53481376906574E-02 
440	 1.54856066563774E-02 
441	 0.015491187915139 
442	 1.55858551068968E-02 
443	 1.56356198457788E-02 
444	 1.56483554533514E-02 
445	 1.57738526904011E-02 
446	 1.58622825006217E-02 
447	 1.59310400536971E-02 
448	 1.59950618827832E-02 
449	 1.59679319856804E-02 
450	 0.016054096558538 
451	 1.61887095856213E-02 
452	 1.62285226225345E-02 
453	 0.016354248792268 
454	 1.64567043804733E-02 
455	 1.65218854512108E-02 
456	 1.66686265526182E-02 
457	 1.67416047695849E-02 
458	 1.67314289062592E-02 
459	 1.66984436872169E-02 
460	 1.68027405214993E-02 
461	 0.016878338556538 
462	 1.69019241934685E-02 
463	 1.69354697014798E-02 
464	 1.70345698615755E-02 
465	 1.71263926044139E-02 
466	 1.71669549922606E-02 
467	 1.71742393324739E-02 
468	 1.72536057506282E-02 
469	 1.73493752356084E-02 
470	 1.73925374418704E-02 
471	 1.74573752497829E-02 
472	 1.75248089898778E-02 
473	 1.76203256973939E-02 
474	 1.77805741956488E-02 
475	 1.77924886684521E-02 
476	 1.78058931636868E-02 
477	 1.79054351198283E-02 
478	 1.79539985526382E-02 
479	 1.80607607621868E-02 
480	 1.81672793484422E-02 
481	 1.81945935500641E-02 
482	 1.82587885079288E-02 
483	 1.82950036308605E-02 
484	 1.83543272874946E-02 
485	 1.85909291006419E-02 
486	 1.87030776841888E-02 
487	 1.88162024908682E-02 
488	 1.89987669294048E-02 
489	 1.89297384819114E-02 
490	 1.89512411324047E-02 
491	 1.90730324893074E-02 
492	 1.91737916457595E-02 
493	 1.93024914851081E-02 
494	 1.94162118935284E-02 
495	 1.95426533950743E-02 
496	 1.97981926755057E-02 
497	 1.98679004681022E-02 
498	 1.98790163985526E-02 
499	 2.00197826943066E-02 
500	 2.02970193784282E-02 
501	 2.05950804318763E-02 
502	 2.08301115071493E-02 
503	 2.09590858619137E-02 
504	 2.10671238784394E-02 
505	 2.11367500043103E-02 
506	 2.12259245425767E-02 
507	 2.15377807867813E-02 
508	 0.021883004625016 
509	 2.21508091137762E-02 
510	 2.23165728517259E-02 
511	 0.022610438852059 
512	 2.29114136025836E-02 
513	 2.31587462937971E-02 
514	 2.33669336985338E-02 
515	 2.37343289889053E-02 
516	 2.41481978386136E-02 
517	 2.44963233249942E-02 
518	 2.48219483921791E-02 
519	 2.51100999347925E-02 
520	 2.53356264382964E-02 
521	 0.025501598282862 
522	 2.57610914661083E-02 
523	 2.61366740858636E-02 
524	 2.64933789043117E-02 
525	 2.65396972702123E-02 
526	 2.68942909670723E-02 
527	 2.73401895376917E-02 
528	 2.75986513953944E-02 
529	 2.78314229840746E-02 
530	 2.80427238863064E-02 
531	 2.82549713842231E-02 
532	 2.84974090783293E-02 
533	 2.87786689323907E-02 
534	 2.90771663630106E-02 
535	 2.93416111463977E-02 
536	 2.94748515402633E-02 
537	 2.96902486974202E-02 
538	 2.99506515270386E-02 
539	 3.01757515730045E-02 
540	 3.04777156347683E-02 
541	 3.08137984628381E-02 
542	 3.10810801164471E-02 
543	 0.031159788190348 
544	 3.13979092772958E-02 
545	 3.16873672120859E-02 
546	 3.19191732286174E-02 
547	 0.032165441602313 
548	 0.032434891838985 
549	 0.032691069816659 
550	 3.28898762855028E-02 
551	 3.30872130191987E-02 
552	 3.32590471216526E-02 
553	 3.33656784093001E-02 
554	 3.33573175657032E-02 
555	 3.34521904154279E-02 
556	 3.35996953401517E-02 
557	 3.37163172771148E-02 
558	 3.38462930412647E-02 
559	 3.40539132006085E-02 
560	 3.42152180315341E-02 
561	 3.41497018507873E-02 
562	 3.44190586101735E-02 
563	 3.45818777127727E-02 
564	 3.45047617430883E-02 
565	 3.48340763195984E-02 
566	 3.50673715037319E-02 
567	 3.51961783998876E-02 
568	 3.53323698937245E-02 
569	 0.035333990477104 
570	 3.54247156531715E-02 
571	 3.55549368900189E-02 
572	 3.54297180673929E-02 
573	 3.53262863163043E-02 
574	 3.52982761663098E-02 
575	 3.53139116294132E-02 
576	 3.52415938103059E-02 
577	 3.51265040469411E-02 
578	 3.50256220753189E-02 
579	 3.50027936620773E-02 
580	 3.50940180718763E-02 
581	 3.52063491452796E-02 
582	 3.52809454509462E-02 
583	 3.53202470271472E-02 
584	 3.54251505987922E-02 
585	 3.56025625205468E-02 
586	 3.58174486777402E-02 
587	 3.60046832923437E-02 
588	 3.61471374983686E-02 
589	 3.62543683433867E-02 
590	 3.63449775691709E-02 
591	 3.62875778084134E-02 
592	 3.63127018014092E-02 
593	 3.65068161020423E-02 
594	 3.66133605608308E-02 
595	 3.68289282953191E-02 
596	 3.69825447699914E-02 
597	 3.68754538165568E-02 
598	 3.67792051274234E-02 
599	 3.67595209839475E-02 
600	 0.036819566985882 
601	 3.69075256423667E-02 
602	 3.69680070083441E-02 
603	 3.70042106074282E-02 
604	 3.70354955040848E-02 
605	 3.70764309223047E-02 
606	 3.71750180103755E-02 
607	 3.72526950737848E-02 
608	 3.72122922121536E-02 
609	 3.73293672886231E-02 
610	 3.75575280930481E-02 
611	 0.037776883994378 
612	 3.78172210870723E-02 
613	 3.79491514068461E-02 
614	 3.80985652131744E-02 
615	 3.81607667322505E-02 
616	 3.82989246894996E-02 
617	 3.83527789444799E-02 
618	 3.83574065668309E-02 
619	 3.84696986225689E-02 
620	 3.85314142495096E-02 
621	 3.86041503383324E-02 
622	 3.87044580604791E-02 
623	 3.86924833886901E-02 
624	 3.88279395870359E-02 
625	 3.90229178180508E-02 
626	 3.91144663367099E-02 
627	 3.92621668986727E-02 
628	 3.94863502734197E-02 
629	 3.96979998594104E-02 
630	 3.97241337102662E-02 
631	 3.98433155974743E-02 
632	 3.99362586723975E-02 
633	 0.039931809023312 
634	 0.040095657509618 
635	 0.040197342843486 
636	 0.040173287603972 
637	 4.00716560754882E-02 
638	 4.01506793897841E-02 
639	 4.00494540137155E-02 
640	 3.97740075812685E-02 
641	 0.039855743741624 
642	 3.98114214225541E-02 
643	 3.96893510627129E-02 
644	 3.96228957319842E-02 
645	 3.95840913095144E-02 
646	 3.94785098667711E-02 
647	 3.94090029349659E-02 
648	 3.95511547568357E-02 
649	 3.95289569949114E-02 
650	 3.94744059444327E-02 
651	 3.95095020000773E-02 
652	 0.039640256723723 
653	 3.96435429546924E-02 
654	 3.96139344257453E-02 
655	 3.97178213095579E-02 
656	 4.00003904086392E-02 
657	 4.00706381870647E-02 
658	 3.99184565212907E-02 
659	 3.98529405977715E-02 
